Total PnL,Win Rate,Profit Factor,Expectancy,Sharpe Ratio,Max Drawdown,Total Trades,Winning Trades,Losing Trades,Average Win,Average Loss,Largest Win,Largest Loss,Win/Loss Ratio,Trade Type,Long Total PnL,Long Win Rate,Long Profit Factor,Long Total Trades,Long Winning Trades,Long Losing Trades,Long Average Win,Long Average Loss,Long Largest Win,Long Largest Loss,Short Total PnL,Short Win Rate,Short Profit Factor,Short Total Trades,Short Winning Trades,Short Losing Trades,Short Average Win,Short Average Loss,Short Largest Win,Short Largest Loss,Long Threshold,Short Threshold,PnL/MaxDD
360.0,0.5238095238095238,1.4230317273795534,1.7142857142857142,1.913991621268178,101.0,210,110,100,11.00909090909091,-8.51,46.0,-44.0,1.2936652067086851,all,108.0,0.5652173913043478,1.7346938775510203,46,26,20,9.807692307692308,-7.35,28.0,-23.0,252.0,0.5121951219512195,1.3579545454545454,164,84,80,11.380952380952381,-8.8,46.0,-44.0,0.008979591836734694,0.0024489795918367346,3.5643564356435644
340.0,0.5217391304347826,1.4028436018957346,1.642512077294686,1.8170992388032505,101.0,207,108,99,10.962962962962964,-8.525252525252526,46.0,-44.0,1.2859399684044233,all,88.0,0.5581395348837209,1.6285714285714286,43,24,19,9.5,-7.368421052631579,28.0,-23.0,252.0,0.5121951219512195,1.3579545454545454,164,84,80,11.380952380952381,-8.8,46.0,-44.0,0.009183673469387756,0.0024489795918367346,3.366336633663366
546.0,0.5039745627980922,1.2054176072234764,0.8680445151033387,1.7685786591049486,224.0,629,317,312,10.107255520504731,-8.51923076923077,48.0,-44.0,1.1864047112104876,all,108.0,0.5652173913043478,1.7346938775510203,46,26,20,9.807692307692308,-7.35,28.0,-23.0,438.0,0.49914236706689535,1.1744324970131421,583,291,292,10.1340206185567,-8.599315068493151,48.0,-44.0,0.008979591836734694,0.0017346938775510204,2.4375
328.0,0.5198019801980198,1.3956574185765984,1.6237623762376239,1.7635260739712684,101.0,202,105,97,11.019047619047619,-8.54639175257732,46.0,-44.0,1.2893216152564766,all,76.0,0.5526315789473685,1.608,38,21,17,9.571428571428571,-7.352941176470588,28.0,-23.0,252.0,0.5121951219512195,1.3579545454545454,164,84,80,11.380952380952381,-8.8,46.0,-44.0,0.009387755102040816,0.0024489795918367346,3.2475247524752477
337.0,0.5158371040723982,1.3671023965141613,1.5248868778280542,1.757606662659125,101.0,221,114,107,11.008771929824562,-8.57943925233645,46.0,-44.0,1.2831575125176775,all,85.0,0.5263157894736842,1.397196261682243,57,30,27,9.966666666666667,-7.925925925925926,24.0,-23.0,252.0,0.5121951219512195,1.3579545454545454,164,84,80,11.380952380952381,-8.8,46.0,-44.0,0.008775510204081634,0.0024489795918367346,3.3366336633663365
320.0,0.5126903553299492,1.3970223325062034,1.6243654822335025,1.7411977642262462,105.0,197,101,96,11.148514851485148,-8.395833333333334,46.0,-44.0,1.327862811095005,all,68.0,0.5151515151515151,1.6666666666666667,33,17,16,10.0,-6.375,28.0,-15.0,252.0,0.5121951219512195,1.3579545454545454,164,84,80,11.380952380952381,-8.8,46.0,-44.0,0.009591836734693878,0.0024489795918367346,3.0476190476190474
586.0,0.5071707953063885,1.178876678876679,0.7640156453715776,1.7113654384709989,245.0,767,389,378,9.9280205655527,-8.666666666666666,48.0,-44.0,1.14554083448685,all,108.0,0.5652173913043478,1.7346938775510203,46,26,20,9.807692307692308,-7.35,28.0,-23.0,478.0,0.5034674063800277,1.1527644614892938,721,363,358,9.9366391184573,-8.740223463687151,48.0,-44.0,0.008979591836734694,0.0016326530612244899,2.3918367346938774
526.0,0.5031948881789138,1.1984156921916258,0.8402555910543131,1.7073275001488963,224.0,626,315,311,10.085714285714285,-8.52411575562701,48.0,-44.0,1.1831977151479225,all,88.0,0.5581395348837209,1.6285714285714286,43,24,19,9.5,-7.368421052631579,28.0,-23.0,438.0,0.49914236706689535,1.1744324970131421,583,291,292,10.1340206185567,-8.599315068493151,48.0,-44.0,0.009183673469387756,0.0017346938775510204,2.3482142857142856
338.0,0.5188284518828452,1.3366533864541832,1.4142259414225942,1.7008514598141762,99.0,239,124,115,10.82258064516129,-8.730434782608695,46.0,-44.0,1.2396382213083152,all,86.0,0.5333333333333333,1.2866666666666666,75,40,35,9.65,-8.571428571428571,24.0,-23.0,252.0,0.5121951219512195,1.3579545454545454,164,84,80,11.380952380952381,-8.8,46.0,-44.0,0.00836734693877551,0.0024489795918367346,3.414141414141414
523.0,0.5015625,1.1919266055045872,0.8171875,1.6823713090057606,224.0,640,321,319,10.118380062305295,-8.5423197492163,48.0,-44.0,1.1845002715139044,all,85.0,0.5263157894736842,1.397196261682243,57,30,27,9.966666666666667,-7.925925925925926,24.0,-23.0,438.0,0.49914236706689535,1.1744324970131421,583,291,292,10.1340206185567,-8.599315068493151,48.0,-44.0,0.008775510204081634,0.0017346938775510204,2.3348214285714284
