Total PnL,Win Rate,Profit Factor,Expectancy,Sharpe Ratio,Max Drawdown,Total Trades,Winning Trades,Losing Trades,Average Win,Average Loss,Largest Win,Largest Loss,Win/Loss Ratio,Trade Type,Long Total PnL,Long Win Rate,Long Profit Factor,Long Total Trades,Long Winning Trades,Long Losing Trades,Long Average Win,Long Average Loss,Long Largest Win,Long Largest Loss,Short Total PnL,Short Win Rate,Short Profit Factor,Short Total Trades,Short Winning Trades,Short Losing Trades,Short Average Win,Short Average Loss,Short Largest Win,Short Largest Loss,Long Threshold,Short Threshold,PnL/MaxDD
561.0,0.5010337698139214,1.0844752296340912,0.38662991040661615,1.1655628269029679,562.0,1451,727,724,9.90646492434663,-9.172651933701658,49.0,-48.0,1.0800000911349132,all,131.0,0.5107692307692308,1.0822347771500314,325,166,159,10.385542168674698,-10.018867924528301,47.0,-48.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.008775510204081634,0.0018367346938775511,0.998220640569395
355.0,0.5160714285714286,1.1377570818781528,0.6339285714285714,1.1649317471959824,201.0,560,289,271,10.145328719723183,-9.509225092250922,47.0,-48.0,1.0668933189930085,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,165.0,0.5177664974619289,1.1971326164874552,197,102,95,9.823529411764707,-8.810526315789474,46.0,-30.0,0.00836734693877551,0.00010204081632653062,1.7661691542288558
560.0,0.5040053404539386,1.0832218754644078,0.37383177570093457,1.163818158892443,437.0,1498,755,743,9.654304635761589,-9.056527590847914,49.0,-50.0,1.0660051039338476,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,144.0,0.5033112582781457,1.1938088829071332,151,76,75,11.671052631578947,-9.906666666666666,46.0,-30.0,0.004081632653061225,0.0,1.2814645308924486
698.0,0.50169779286927,1.0656693950512748,0.29626485568760613,1.1585460807871524,537.0,2356,1182,1174,9.582910321489003,-9.05366269165247,49.0,-50.0,1.0584567426313003,all,248.0,0.494475138121547,1.0380543194721497,1448,716,732,9.44832402234637,-8.903005464480874,49.0,-50.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.0038775510204081634,0.0019387755102040817,1.2998137802607077
430.0,0.5160523186682521,1.1094983447924625,0.5112960760998811,1.1541422440144882,473.0,841,434,407,10.039170506912443,-9.64864864864865,47.0,-48.0,1.0404742542178163,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,249.0,0.5178197064989518,1.1143250688705235,477,247,230,9.82591093117409,-9.469565217391304,46.0,-46.0,0.00836734693877551,0.0022448979591836735,0.9090909090909091
510.0,0.5114566284779051,1.0899947061937534,0.41734860883797054,1.1399474785665331,502.0,1222,625,597,9.8832,-9.492462311557789,49.0,-48.0,1.0411629433562732,all,60.0,0.5063694267515924,1.0385852090032155,314,159,155,10.157232704402515,-10.03225806451613,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.008979591836734694,0.0019387755102040817,1.0159362549800797
525.0,0.5038434661076171,1.0827292782855342,0.3668763102725367,1.1276592538663743,393.0,1431,721,710,9.52981969486824,-8.938028169014084,49.0,-50.0,1.0662105236931059,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,99.0,0.5,1.2820512820512822,82,41,41,10.975609756097562,-8.560975609756097,44.0,-26.0,0.004081632653061225,0.0030612244897959186,1.3358778625954197
685.0,0.4912920210611584,1.0619797321751718,0.2774402592142568,1.1172853825861324,716.0,2469,1213,1256,9.6760098928277,-8.799363057324841,50.0,-48.0,1.0996261695070204,all,142.0,0.5147058823529411,1.0861127956337173,340,175,165,10.234285714285715,-9.993939393939394,47.0,-48.0,543.0,0.48755284170972285,1.057747527384877,2129,1038,1091,9.58188824662813,-8.618698441796518,50.0,-48.0,0.008571428571428572,0.001326530612244898,0.9567039106145251
518.0,0.5082956259426847,1.0840090820629258,0.39064856711915535,1.109805958609621,526.0,1326,674,652,9.916913946587536,-9.457055214723926,49.0,-48.0,1.0486259962982605,all,68.0,0.49760765550239233,1.0331061343719572,418,208,210,10.201923076923077,-9.780952380952382,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.007959183673469388,0.0019387755102040817,0.9847908745247148
334.0,0.5116731517509727,1.1345146999597262,0.6498054474708171,1.1053750779040585,191.0,514,263,251,10.711026615969581,-9.892430278884461,47.0,-48.0,1.0827497706839972,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,144.0,0.5033112582781457,1.1938088829071332,151,76,75,11.671052631578947,-9.906666666666666,46.0,-30.0,0.00836734693877551,0.0,1.7486910994764397
674.0,0.4906275468622657,1.061295016369589,0.27465362673186633,1.1002328620371304,731.0,2454,1204,1250,9.692691029900333,-8.7968,50.0,-48.0,1.1018428326096232,all,131.0,0.5107692307692308,1.0822347771500314,325,166,159,10.385542168674698,-10.018867924528301,47.0,-48.0,543.0,0.48755284170972285,1.057747527384877,2129,1038,1091,9.58188824662813,-8.618698441796518,50.0,-48.0,0.008775510204081634,0.001326530612244898,0.9220246238030095
551.0,0.5045815516188149,1.0748641304347826,0.33659132559560173,1.0977371028709477,456.0,1637,826,811,9.577481840193705,-9.075215782983971,49.0,-50.0,1.055344806032214,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,125.0,0.5069444444444444,1.0915750915750915,288,146,142,10.205479452054794,-9.612676056338028,46.0,-44.0,0.004081632653061225,0.0024489795918367346,1.2083333333333333
332.0,0.5107212475633528,1.1337092227144583,0.6471734892787524,1.0876611077388523,336.0,513,262,251,10.744274809160306,-9.892430278884461,47.0,-48.0,1.0861107438982025,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,151.0,0.5033557046979866,1.2057220708446867,149,75,74,11.8,-9.91891891891892,46.0,-44.0,0.00836734693877551,0.0027551020408163266,0.9880952380952381
678.0,0.4961149961149961,1.0586251621271077,0.2634032634032634,1.0828768412166971,548.0,2574,1277,1297,9.587314017227877,-8.916730917501928,49.0,-50.0,1.0752050393726378,all,248.0,0.494475138121547,1.0380543194721497,1448,716,732,9.44832402234637,-8.903005464480874,49.0,-50.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.0038775510204081634,0.0018367346938775511,1.2372262773722629
791.0,0.49035504612804026,1.0496859296482413,0.22113502935420742,1.0808231831868618,570.0,3577,1754,1823,9.527366020524516,-8.73285792649479,50.0,-50.0,1.0909791617723739,all,248.0,0.494475138121547,1.0380543194721497,1448,716,732,9.44832402234637,-8.903005464480874,49.0,-50.0,543.0,0.48755284170972285,1.057747527384877,2129,1038,1091,9.58188824662813,-8.618698441796518,50.0,-48.0,0.0038775510204081634,0.001326530612244898,1.3877192982456141
508.0,0.5070214338507022,1.0807246146511997,0.3754619364375462,1.078940284216491,531.0,1353,686,667,9.91399416909621,-9.434782608695652,49.0,-48.0,1.0507920087060498,all,58.0,0.4943820224719101,1.026593305823017,445,220,225,10.177272727272728,-9.693333333333333,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.007755102040816327,0.0019387755102040817,0.9566854990583804
488.0,0.5055350553505535,1.0812520812520812,0.36014760147601477,1.0773081549846768,395.0,1355,685,670,9.48029197080292,-8.964179104477612,49.0,-50.0,1.0575750283779481,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,62.0,0.8333333333333334,6.636363636363637,6,5,1,14.6,-11.0,31.0,-11.0,0.004081632653061225,0.004897959183673469,1.2354430379746835
488.0,0.5055350553505535,1.0812520812520812,0.36014760147601477,1.0773081549846768,395.0,1355,685,670,9.48029197080292,-8.964179104477612,49.0,-50.0,1.0575750283779481,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,62.0,0.8333333333333334,6.636363636363637,6,5,1,14.6,-11.0,31.0,-11.0,0.004081632653061225,0.004795918367346939,1.2354430379746835
488.0,0.5055350553505535,1.0812520812520812,0.36014760147601477,1.0773081549846768,395.0,1355,685,670,9.48029197080292,-8.964179104477612,49.0,-50.0,1.0575750283779481,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,62.0,0.8333333333333334,6.636363636363637,6,5,1,14.6,-11.0,31.0,-11.0,0.004081632653061225,0.005,1.2354430379746835
529.0,0.5013227513227513,1.0760932105868815,0.3498677248677249,1.0751587734506147,566.0,1512,758,754,9.869393139841689,-9.220159151193634,49.0,-48.0,1.0704146184465813,all,99.0,0.5103626943005182,1.0519957983193278,386,197,189,10.16751269035533,-10.074074074074074,47.0,-48.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.00816326530612245,0.0018367346938775511,0.9346289752650176
315.0,0.5149572649572649,1.1387054161162484,0.6730769230769231,1.0728246089863147,296.0,468,241,227,10.730290456431534,-10.004405286343612,47.0,-48.0,1.0725565537692463,all,142.0,0.5147058823529411,1.0861127956337173,340,175,165,10.234285714285715,-9.993939393939394,47.0,-48.0,173.0,0.515625,1.2781350482315113,128,66,62,12.045454545454545,-10.03225806451613,46.0,-44.0,0.008571428571428572,0.002857142857142857,1.0641891891891893
656.0,0.5018240778273206,1.0588816084732071,0.26591001216051885,1.067206124338591,621.0,2467,1238,1229,9.52907915993538,-9.065093572009763,49.0,-49.0,1.0511837615618511,all,206.0,0.49518922386144965,1.0293071560677194,1559,772,787,9.371761658031089,-8.93138500635324,49.0,-49.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.0036734693877551023,0.0019387755102040817,1.0563607085346216
391.0,0.5165238678090576,1.102168800627123,0.4785801713586291,1.0664351578334392,470.0,817,422,395,9.995260663507109,-9.688607594936709,47.0,-48.0,1.0316508915822598,all,142.0,0.5147058823529411,1.0861127956337173,340,175,165,10.234285714285715,-9.993939393939394,47.0,-48.0,249.0,0.5178197064989518,1.1143250688705235,477,247,230,9.82591093117409,-9.469565217391304,46.0,-46.0,0.008571428571428572,0.0022448979591836735,0.8319148936170213
316.0,0.5167910447761194,1.127573677836092,0.5895522388059702,1.062289645144979,196.0,536,277,259,10.083032490974729,-9.563706563706564,47.0,-48.0,1.0543017420922305,all,142.0,0.5147058823529411,1.0861127956337173,340,175,165,10.234285714285715,-9.993939393939394,47.0,-48.0,165.0,0.5177664974619289,1.1971326164874552,197,102,95,9.823529411764707,-8.810526315789474,46.0,-30.0,0.008571428571428572,0.00010204081632653062,1.6122448979591837
477.0,0.5051622418879056,1.0792753864051854,0.35176991150442477,1.052693868280539,395.0,1356,685,671,9.48029197080292,-8.967213114754099,49.0,-50.0,1.0572172033253713,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,51.0,0.7142857142857143,3.3181818181818183,7,5,2,14.6,-11.0,31.0,-11.0,0.004081632653061225,0.004693877551020408,1.2075949367088608
476.0,0.5047899778924098,1.07909604519774,0.3507737656595431,1.0504825740947443,395.0,1357,685,672,9.48029197080292,-8.955357142857142,49.0,-50.0,1.058616850179389,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,50.0,0.625,3.1739130434782608,8,5,3,14.6,-7.666666666666667,31.0,-11.0,0.004081632653061225,0.004591836734693878,1.2050632911392405
476.0,0.5047899778924098,1.07909604519774,0.3507737656595431,1.0504825740947443,395.0,1357,685,672,9.48029197080292,-8.955357142857142,49.0,-50.0,1.058616850179389,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,50.0,0.625,3.1739130434782608,8,5,3,14.6,-7.666666666666667,31.0,-11.0,0.004081632653061225,0.004489795918367347,1.2050632911392405
476.0,0.5047899778924098,1.07909604519774,0.3507737656595431,1.0504825740947443,395.0,1357,685,672,9.48029197080292,-8.955357142857142,49.0,-50.0,1.058616850179389,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,50.0,0.625,3.1739130434782608,8,5,3,14.6,-7.666666666666667,31.0,-11.0,0.004081632653061225,0.004387755102040817,1.2050632911392405
762.0,0.4908194025760482,1.0472558139534884,0.20882433543436557,1.0411354923104181,542.0,3649,1791,1858,9.428810720268007,-8.678686759956943,50.0,-50.0,1.086432887953982,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,322.0,0.4826238053866203,1.0317429022082019,2302,1111,1191,9.42034203420342,-8.517212426532327,50.0,-48.0,0.004081632653061225,0.0012244897959183673,1.4059040590405905
471.0,0.5044182621502209,1.0782002324423046,0.34683357879234167,1.0393759111067324,395.0,1358,685,673,9.48029197080292,-8.949479940564636,49.0,-50.0,1.0593120531878408,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,45.0,0.5555555555555556,2.607142857142857,9,5,4,14.6,-7.0,31.0,-11.0,0.004081632653061225,0.004285714285714286,1.1924050632911392
304.0,0.5121412803532008,1.1372460496613996,0.6710816777041942,1.0389839883307905,314.0,453,232,221,10.857758620689655,-10.02262443438914,47.0,-48.0,1.08332490075504,all,131.0,0.5107692307692308,1.0822347771500314,325,166,159,10.385542168674698,-10.018867924528301,47.0,-48.0,173.0,0.515625,1.2781350482315113,128,66,62,12.045454545454545,-10.03225806451613,46.0,-44.0,0.008775510204081634,0.002857142857142857,0.9681528662420382
380.0,0.5149625935162094,1.1007690267833465,0.47381546134663344,1.0387679027466354,485.0,802,413,389,10.05084745762712,-9.694087403598973,47.0,-48.0,1.0368018194157913,all,131.0,0.5107692307692308,1.0822347771500314,325,166,159,10.385542168674698,-10.018867924528301,47.0,-48.0,249.0,0.5178197064989518,1.1143250688705235,477,247,230,9.82591093117409,-9.469565217391304,46.0,-46.0,0.008775510204081634,0.0022448979591836735,0.7835051546391752
642.0,0.49105367793240556,1.0567789864685593,0.2552683896620278,1.0337541395397285,735.0,2515,1235,1280,9.675303643724696,-8.83359375,50.0,-48.0,1.0952851033844178,all,99.0,0.5103626943005182,1.0519957983193278,386,197,189,10.16751269035533,-10.074074074074074,47.0,-48.0,543.0,0.48755284170972285,1.057747527384877,2129,1038,1091,9.58188824662813,-8.618698441796518,50.0,-48.0,0.00816326530612245,0.001326530612244898,0.8734693877551021
305.0,0.5143953934740882,1.1259809995869476,0.5854126679462572,1.0288147383671933,202.0,521,268,253,10.171641791044776,-9.569169960474309,47.0,-48.0,1.0629596749832004,all,131.0,0.5107692307692308,1.0822347771500314,325,166,159,10.385542168674698,-10.018867924528301,47.0,-48.0,165.0,0.5177664974619289,1.1971326164874552,197,102,95,9.823529411764707,-8.810526315789474,46.0,-30.0,0.008775510204081634,0.00010204081632653062,1.50990099009901
